ours: NUMBER hej joel | random: hej NUMBER joel
1.00 | 0.00
ours: svarar jag dystert | random: jag svarar dystert
1.00 | 0.00
ours: svaret blev nej | random: blev svaret nej
1.00 | 0.00
ours: svarten sa hon | random: sa svarten hon
1.00 | 0.00
ours: svarten sa mamma | random: svarten sa mamma
1.00 | 1.00
ours: svarten viskade jag | random: jag svarten viskade
1.00 | 0.33
ours: sverige har demokrati | random: har sverige demokrati
1.00 | 0.00
ours: sverige har hemmamatch | random: sverige hemmamatch har
1.00 | 0.00
ours: sverige kom femma | random: sverige femma kom
1.00 | 0.00
ours: sverige vann matchen | random: matchen vann sverige
1.00 | 0.00
ours: synd om dig | random: synd dig om
1.00 | 0.00
ours: synd sa jag | random: sa jag synd
1.00 | 0.33
ours: ta bort det | random: bort ta det
1.00 | 0.00
ours: ta den du | random: den du ta
1.00 | 0.33
ours: ta det lugnt | random: det ta lugnt
1.00 | 0.00
ours: ta en annan | random: en ta annan
1.00 | 0.00
ours: ta era grejor | random: grejor ta era
1.00 | 0.33
ours: ta fast den | random: fast den ta
1.00 | 0.33
ours: ta grejorna du | random: du grejorna ta
1.00 | 0.00
ours: tack och lov | random: tack och lov
1.00 | 1.00
ours: tack sa hon | random: hon tack sa
1.00 | 0.33
ours: tack sa jag | random: jag tack sa
1.00 | 0.33
ours: tack sa percy | random: percy sa tack
1.00 | 0.00
ours: tack tack tack | random: tack tack tack
1.00 | 1.00
ours: tack viskade jag | random: viskade tack jag
1.00 | 0.00
ours: tack viskar jag | random: jag tack viskar
1.00 | 0.33
ours: tar mormors hand | random: hand mormors tar
1.00 | 0.00
ours: telefon till dig | random: dig telefon till
1.00 | 0.33
ours: telefonen bara ringde | random: ringde telefonen bara
1.00 | 0.33
ours: termometern visar plusgrader | random: termometern plusgrader visar
1.00 | 0.00
ours: tessa vill galoppera | random: galoppera vill tessa
1.00 | 0.00
ours: tid klockan NUMBER | random: NUMBER tid klockan
1.00 | 0.33
ours: tiden var fantastisk | random: tiden fantastisk var
1.00 | 0.00
ours: till i morgon | random: till morgon i
1.00 | 0.00
ours: till inez rum | random: rum inez till
1.00 | 0.00
ours: till julafton kanske | random: kanske julafton till
1.00 | 0.00
ours: till martinas rum | random: till martinas rum
1.00 | 1.00
ours: till varje pris | random: varje pris till
1.00 | 0.33
ours: till vilken nytta | random: nytta till vilken
1.00 | 0.33
ours: till vingar och | random: och vingar till
1.00 | 0.00
ours: tillbaka under bron | random: bron under tillbaka
1.00 | 0.00
ours: tills mirran bryter | random: bryter tills mirran
1.00 | 0.33
ours: tiokamp nicklas wiberg | random: nicklas tiokamp wiberg
1.00 | 0.00
ours: titta en orm | random: en titta orm
1.00 | 0.00
ours: titta ett troll | random: titta ett troll
1.00 | 1.00
ours: titta ropade hon | random: titta ropade hon
1.00 | 1.00
ours: tjata sa jag | random: sa jag tjata
1.00 | 0.33
ours: tjejerna fnissar med | random: tjejerna med fnissar
1.00 | 0.00
ours: tjuter turbin triumferande | random: tjuter triumferande turbin
1.00 | 0.00
ours: tog fram brevet | random: fram brevet tog
1.00 | 0.33
ours: tokprat fnyste mormor | random: tokprat mormor fnyste
1.00 | 0.00
ours: tolv tunga slag | random: tolv slag tunga
1.00 | 0.00
ours: tolv viskade jag | random: viskade tolv jag
1.00 | 0.00
ours: tre andra skadades | random: skadades andra tre
1.00 | 0.00
ours: tre minuter i | random: tre minuter i
1.00 | 1.00
ours: tre saker NUMBER | random: NUMBER saker tre
1.00 | 0.00
ours: tresteg christian olsson | random: olsson christian tresteg
1.00 | 0.00
ours: trettio tusen kronor | random: kronor trettio tusen
1.00 | 0.33
ours: trettiofyra suckade klasse | random: klasse suckade trettiofyra
1.00 | 0.00
ours: tretton sa jag | random: tretton sa jag
1.00 | 1.00
ours: tretusenfemhundra miljoner kronor | random: miljoner kronor tretusenfemhundra
1.00 | 0.33
ours: trolla fram blommor | random: blommor trolla fram
1.00 | 0.33
ours: tror du det | random: du det tror
1.00 | 0.33
ours: tror du ja | random: ja tror du
1.00 | 0.33
ours: jag tror inte | random: jag inte tror
0.00 | 0.33
ours: tuff och stark | random: stark tuff och
1.00 | 0.33
ours: turbin beundrar taket | random: turbin beundrar taket
1.00 | 1.00
ours: tyckte om idrott | random: tyckte om idrott
1.00 | 1.00
ours: typ en halvtimme | random: en typ halvtimme
1.00 | 0.00
ours: tyst i huset | random: tyst huset i
1.00 | 0.00
ours: tyst med dej | random: tyst med dej
1.00 | 1.00
ours: tystnade ett tag | random: tag ett tystnade
1.00 | 0.00
ours: undrade farfar intresserat | random: undrade intresserat farfar
1.00 | 0.00
ours: undrade hennes mamma | random: hennes mamma undrade
1.00 | 0.33
ours: undrade uffe e | random: uffe e undrade
1.00 | 0.33
ours: undrar den andra | random: andra undrar den
1.00 | 0.33
ours: undrar hon nyfiket | random: nyfiket hon undrar
1.00 | 0.00
ours: undrar hon oroligt | random: undrar hon oroligt
1.00 | 1.00
ours: undrar jag avledande | random: undrar jag avledande
1.00 | 1.00
ours: undrar jag oroligt | random: jag oroligt undrar
1.00 | 0.33
ours: undrar jag spydigt | random: spydigt jag undrar
1.00 | 0.00
ours: undrar jag tyst | random: tyst jag undrar
1.00 | 0.00
ours: undrar majsan milt | random: undrar milt majsan
1.00 | 0.00
ours: undrar majsan nyfiket | random: nyfiket undrar majsan
1.00 | 0.33
ours: undrar majsan oroligt | random: majsan undrar oroligt
1.00 | 0.00
ours: undrar majsan retsamt | random: retsamt undrar majsan
1.00 | 0.33
ours: undrar majsan surt | random: undrar majsan surt
1.00 | 1.00
ours: undrar maud olofsson | random: maud olofsson undrar
1.00 | 0.33
ours: undrar staffan milt | random: staffan milt undrar
1.00 | 0.33
ours: undrar staffan tvivlande | random: tvivlande staffan undrar
1.00 | 0.00
ours: ungdomar menar jag | random: ungdomar jag menar
1.00 | 0.00
ours: upp med er | random: upp med er
1.00 | 1.00
ours: upp med luckan | random: luckan med upp
1.00 | 0.00
ours: upp och ner | random: upp ner och
1.00 | 0.00
ours: ur tomma intet | random: ur tomma intet
1.00 | 1.00
ours: usama bin laden | random: laden usama bin
1.00 | 0.33
ours: utbrast percy imponerat | random: imponerat percy utbrast
1.00 | 0.00
ours: utom med love | random: med utom love
1.00 | 0.00
ours: utrikesminister sedan NUMBER | random: sedan NUMBER utrikesminister
1.00 | 0.33
ours: va sa du | random: va du sa
1.00 | 0.00
ours: vad betydde det | random: betydde det vad
1.00 | 0.33
ours: vad betyder det | random: vad det betyder
1.00 | 0.00
ours: vad betyder enveten | random: enveten vad betyder
1.00 | 0.33
ours: vad betyder orden | random: betyder orden vad
1.00 | 0.33
ours: vad fick du | random: fick du vad
1.00 | 0.33
ours: vad gjorde du | random: gjorde vad du
1.00 | 0.00
ours: vad gjorde han | random: gjorde han vad
1.00 | 0.33
ours: vad heter den | random: vad den heter
1.00 | 0.00
ours: vad heter dom | random: dom heter vad
1.00 | 0.00
ours: vad heter du | random: heter vad du
1.00 | 0.00
ours: vad heter han | random: vad heter han
1.00 | 1.00
ours: vad i hela | random: vad hela i
1.00 | 0.00
ours: vad kostar biljetterna | random: kostar vad biljetterna
1.00 | 0.00
ours: vad kostar korten | random: kostar korten vad
1.00 | 0.33
ours: vad kostar trygghetstelefon | random: trygghetstelefon kostar vad
1.00 | 0.00
ours: vad menar du | random: menar du vad
1.00 | 0.33
ours: vad menar han | random: vad menar han
1.00 | 1.00
ours: vad menar mormor | random: vad mormor menar
1.00 | 0.00
ours: vad mycket mat | random: vad mat mycket
1.00 | 0.00
ours: vad sa du | random: sa vad du
1.00 | 0.00
ours: vad sa han | random: vad sa han
1.00 | 1.00
ours: vad sa jag | random: vad jag sa
1.00 | 0.00
ours: vad ser du | random: vad ser du
1.00 | 1.00
ours: vad ska han | random: ska vad han
1.00 | 0.00
ours: vad trodde du | random: du trodde vad
1.00 | 0.00
ours: vad trodde ni | random: ni vad trodde
1.00 | 0.33
ours: vad tror du | random: tror du vad
1.00 | 0.33
ours: vad tycker du | random: vad tycker du
1.00 | 1.00
ours: vad tycker ni | random: vad tycker ni
1.00 | 1.00
ours: vad tycks ungar | random: ungar tycks vad
1.00 | 0.00
ours: vad var det | random: det var vad
1.00 | 0.00
ours: vad vill du | random: vill du vad
1.00 | 0.33
ours: vad vill han | random: vill han vad
1.00 | 0.33
ours: vad ville han | random: vad han ville
1.00 | 0.00
ours: vad ville tant | random: vad ville tant
1.00 | 1.00
ours: vad visste jag | random: vad jag visste
1.00 | 0.00
ours: vagn nummer ett | random: vagn ett nummer
1.00 | 0.00
ours: valsegern var klar | random: var klar valsegern
1.00 | 0.33
ours: var alldeles lugn | random: var lugn alldeles
1.00 | 0.00
ours: var bor du | random: bor du var
1.00 | 0.33
ours: var den rolig | random: den var rolig
1.00 | 0.00
ours: det var allt | random: allt det var
0.00 | 0.00
ours: det var anton | random: var det anton
0.00 | 1.00
ours: det var bra | random: var det bra
0.00 | 1.00
ours: det var det | random: var det det
0.33 | 1.00
ours: det var du | random: var du det
0.00 | 0.00
ours: var det hon | random: var hon det
1.00 | 0.00
ours: var det inte | random: inte det var
1.00 | 0.00
ours: var det julia | random: julia det var
1.00 | 0.00
ours: var det kul | random: det kul var
1.00 | 0.33
ours: var det va | random: va det var
1.00 | 0.00
ours: var fanns alla | random: alla var fanns
1.00 | 0.33
ours: var fanns de | random: var fanns de
1.00 | 1.00
ours: var finns osten | random: var osten finns
1.00 | 0.00
ours: var inte blyga | random: inte var blyga
1.00 | 0.00
ours: var inte dum | random: dum var inte
1.00 | 0.33
ours: var inte ledsen | random: var ledsen inte
1.00 | 0.00
ours: var ligger det | random: ligger det var
1.00 | 0.33
ours: var tysta nu | random: var nu tysta
1.00 | 0.00
ours: var var mormor | random: var mormor var
1.00 | 0.33
ours: vara alldeles trygg | random: vara alldeles trygg
1.00 | 1.00
ours: varm och lugn | random: lugn varm och
1.00 | 0.33
ours: vart ska du | random: vart ska du
1.00 | 1.00
ours: vart ska ni | random: ni vart ska
1.00 | 0.33
ours: vart ska vi | random: ska vart vi
1.00 | 0.00
ours: vattnet pumpades bort | random: pumpades bort vattnet
1.00 | 0.33
ours: vattnet var varmt | random: vattnet varmt var
1.00 | 0.00
ours: vem bor var | random: vem bor var
1.00 | 1.00
ours: vem bryr sig | random: bryr sig vem
1.00 | 0.33
ours: vem har anknytning | random: anknytning vem har
1.00 | 0.33
ours: vem har ansvar | random: ansvar vem har
1.00 | 0.33
ours: vem ringde han | random: ringde han vem
1.00 | 0.33
ours: vem var det | random: vem var det
1.00 | 1.00
ours: vem var han | random: han vem var
1.00 | 0.33
ours: vem var jm | random: vem jm var
1.00 | 0.00
ours: very sa farfar | random: very sa farfar
1.00 | 1.00
ours: vet du vad | random: vet vad du
1.00 | 0.00
ours: vet inte riktigt | random: vet inte riktigt
1.00 | 1.00
ours: vi bara gapade | random: gapade bara vi
1.00 | 0.00
ours: vi bara stirrar | random: stirrar vi bara
1.00 | 0.33
ours: vi begrep ingenting | random: vi ingenting begrep
1.00 | 0.00
ours: vi gillar dej | random: vi dej gillar
1.00 | 0.00
ours: vi har tur | random: har vi tur
1.00 | 0.00
ours: vi kanske ses | random: ses kanske vi
1.00 | 0.00
ours: vi kastar alltihop | random: kastar vi alltihop
1.00 | 0.00
ours: vi rusade ut | random: ut rusade vi
1.00 | 0.00
ours: sa han vi | random: sa vi han
0.33 | 0.00
ours: vi sa inget | random: inget sa vi
1.00 | 0.00
ours: vi ses manuel | random: vi ses manuel
1.00 | 1.00
ours: vi ses sedan | random: sedan vi ses
1.00 | 0.33
ours: vi skrittar vidare | random: skrittar vi vidare
1.00 | 0.33
ours: vi spelade dataspel | random: dataspel vi spelade
1.00 | 0.33
ours: vi springer dit | random: springer dit vi
1.00 | 0.33
ours: vi sticker dit | random: sticker vi dit
1.00 | 0.00
ours: vi tar flotten | random: tar vi flotten
1.00 | 0.00
ours: vi tittade bara | random: bara tittade vi
1.00 | 0.00
ours: vi vann matchen | random: matchen vann vi
1.00 | 0.00
ours: vi vill verkligen | random: vi verkligen vill
1.00 | 0.00
ours: vi vinkade tillbaka | random: vinkade tillbaka vi
1.00 | 0.33
ours: vila i frid | random: frid vila i
1.00 | 0.33
ours: vilken blixt va | random: vilken blixt va
1.00 | 1.00
ours: vilken fantastisk fjording | random: fjording fantastisk vilken
1.00 | 0.00
ours: vilken himla tur | random: himla vilken tur
1.00 | 0.00
ours: vilket som helst | random: som helst vilket
1.00 | 0.33
ours: vill du det | random: det du vill
1.00 | 0.00
ours: vill du ha | random: ha du vill
1.00 | 0.00
ours: vill du spela | random: du vill spela
1.00 | 0.00
ours: vill jag skrika | random: vill jag skrika
1.00 | 1.00
ours: vill ni ha | random: vill ha ni
1.00 | 0.00
ours: ville greven veta | random: veta greven ville
1.00 | 0.00
ours: ville han veta | random: ville han veta
1.00 | 1.00
ours: jag ville veta | random: veta ville jag
0.00 | 0.33
ours: ville mor veta | random: mor veta ville
1.00 | 0.33
ours: ville oskar veta | random: ville veta oskar
1.00 | 0.00
ours: vinden hade stillnat | random: vinden stillnat hade
1.00 | 0.00
ours: visa oss lite | random: oss lite visa
1.00 | 0.33
ours: viskade han ivrigt | random: viskade ivrigt han
1.00 | 0.00
ours: viskar jag tillbaka | random: jag tillbaka viskar
1.00 | 0.33
ours: viskar jag tyst | random: viskar jag tyst
1.00 | 1.00
ours: visst fnyser majsan | random: majsan fnyser visst
1.00 | 0.00
ours: visst nickar jag | random: visst nickar jag
1.00 | 1.00
ours: visst sa hon | random: sa hon visst
1.00 | 0.33
ours: visst svarar jag | random: svarar jag visst
1.00 | 0.33
ours: vit och fladdrande | random: fladdrande och vit
1.00 | 0.00
ours: vitt med spetsar | random: med vitt spetsar
1.00 | 0.00
ours: voff voff voff | random: voff voff voff
1.00 | 1.00
ours: vuxna menar jag | random: menar vuxna jag
1.00 | 0.00
ours: yes of course | random: course of yes
1.00 | 0.00
