ours: NUMBER joel hej | random: NUMBER joel hej
0.33 | 1.00
ours: dystert jag svarar | random: svarar dystert jag
0.00 | 0.00
ours: svaret blev nej | random: svaret nej blev
1.00 | 0.00
ours: hon sa svarten | random: sa hon svarten
0.00 | 0.33
ours: mamma sa svarten | random: sa mamma svarten
0.00 | 0.33
ours: jag viskade svarten | random: jag viskade svarten
0.00 | 0.00
ours: sverige har demokrati | random: demokrati har sverige
1.00 | 0.00
ours: sverige har hemmamatch | random: hemmamatch sverige har
1.00 | 0.33
ours: sverige kom femma | random: femma sverige kom
1.00 | 0.33
ours: sverige vann matchen | random: sverige matchen vann
1.00 | 0.00
ours: synd om dig | random: dig om synd
1.00 | 0.00
ours: jag sa synd | random: synd jag sa
0.00 | 0.00
ours: ta bort det | random: ta det bort
1.00 | 0.00
ours: du ta den | random: du den ta
0.33 | 0.00
ours: ta det lugnt | random: ta lugnt det
1.00 | 0.00
ours: ta en annan | random: ta en annan
1.00 | 1.00
ours: grejor era ta | random: grejor era ta
0.00 | 0.00
ours: ta fast den | random: fast den ta
1.00 | 0.33
ours: du grejorna ta | random: grejorna ta du
0.00 | 0.00
ours: tack och lov | random: tack och lov
1.00 | 1.00
ours: hon sa tack | random: tack hon sa
0.00 | 0.00
ours: jag sa tack | random: tack sa jag
0.00 | 1.00
ours: percy sa tack | random: tack sa percy
0.00 | 1.00
ours: tack tack tack | random: tack tack tack
1.00 | 1.00
ours: jag viskade tack | random: viskade jag tack
0.00 | 0.33
ours: jag viskar tack | random: viskar tack jag
0.00 | 0.00
ours: tar hand mormors | random: tar mormors hand
0.00 | 1.00
ours: telefon till dig | random: telefon dig till
1.00 | 0.00
ours: telefonen ringde bara | random: ringde bara telefonen
0.00 | 0.00
ours: plusgrader termometern visar | random: plusgrader visar termometern
0.33 | 0.00
ours: galoppera vill tessa | random: galoppera vill tessa
0.00 | 0.00
ours: tid klockan NUMBER | random: klockan tid NUMBER
1.00 | 0.00
ours: tiden var fantastisk | random: var fantastisk tiden
1.00 | 0.33
ours: i till morgon | random: till i morgon
0.00 | 1.00
ours: inez till rum | random: inez rum till
0.00 | 0.33
ours: kanske till julafton | random: julafton kanske till
0.33 | 0.33
ours: martinas till rum | random: martinas till rum
0.00 | 0.00
ours: till varje pris | random: varje till pris
1.00 | 0.00
ours: vilken till nytta | random: vilken nytta till
0.00 | 0.33
ours: till och vingar | random: vingar till och
0.00 | 0.00
ours: tillbaka under bron | random: tillbaka bron under
1.00 | 0.00
ours: bryter mirran tills | random: bryter mirran tills
0.00 | 0.00
ours: tiokamp nicklas wiberg | random: nicklas wiberg tiokamp
1.00 | 0.33
ours: titta en orm | random: titta orm en
1.00 | 0.00
ours: titta ett troll | random: ett troll titta
1.00 | 0.33
ours: titta hon ropade | random: ropade titta hon
0.00 | 0.00
ours: jag sa tjata | random: sa tjata jag
0.00 | 0.00
ours: fnissar med tjejerna | random: tjejerna med fnissar
0.33 | 0.00
ours: triumferande turbin tjuter | random: triumferande turbin tjuter
0.00 | 0.00
ours: brevet tog fram | random: tog fram brevet
0.33 | 1.00
ours: mormor fnyste tokprat | random: tokprat fnyste mormor
0.00 | 1.00
ours: tolv tunga slag | random: slag tunga tolv
1.00 | 0.00
ours: jag viskade tolv | random: tolv viskade jag
0.00 | 1.00
ours: tre andra skadades | random: andra skadades tre
1.00 | 0.33
ours: i tre minuter | random: tre i minuter
0.33 | 0.00
ours: NUMBER tre saker | random: NUMBER saker tre
0.33 | 0.00
ours: christian olsson tresteg | random: christian olsson tresteg
0.33 | 0.33
ours: trettio tusen kronor | random: kronor tusen trettio
1.00 | 0.00
ours: klasse suckade trettiofyra | random: klasse trettiofyra suckade
0.00 | 0.33
ours: jag sa tretton | random: sa jag tretton
0.00 | 0.33
ours: tretusenfemhundra miljoner kronor | random: kronor miljoner tretusenfemhundra
1.00 | 0.00
ours: blommor fram trolla | random: trolla fram blommor
0.00 | 1.00
ours: du tror det | random: tror du det
0.00 | 1.00
ours: tror du ja | random: tror du ja
1.00 | 1.00
ours: jag tror inte | random: jag tror inte
0.00 | 0.00
ours: tuff och stark | random: stark och tuff
1.00 | 0.00
ours: taket beundrar turbin | random: beundrar turbin taket
0.00 | 0.00
ours: idrott tyckte om | random: om tyckte idrott
0.33 | 0.00
ours: en typ halvtimme | random: typ en halvtimme
0.00 | 1.00
ours: huset i tyst | random: i tyst huset
0.00 | 0.00
ours: med dej tyst | random: med dej tyst
0.33 | 0.33
ours: tystnade ett tag | random: tag tystnade ett
1.00 | 0.33
ours: intresserat farfar undrade | random: intresserat farfar undrade
0.00 | 0.00
ours: hennes mamma undrade | random: mamma hennes undrade
0.33 | 0.00
ours: e uffe undrade | random: uffe e undrade
0.33 | 0.33
ours: den andra undrar | random: den andra undrar
0.33 | 0.33
ours: hon undrar nyfiket | random: hon undrar nyfiket
0.00 | 0.00
ours: hon undrar oroligt | random: oroligt undrar hon
0.00 | 0.33
ours: jag undrar avledande | random: avledande jag undrar
0.00 | 0.00
ours: jag undrar oroligt | random: jag oroligt undrar
0.00 | 0.33
ours: jag undrar spydigt | random: undrar jag spydigt
0.00 | 1.00
ours: jag undrar tyst | random: tyst jag undrar
0.00 | 0.00
ours: milt majsan undrar | random: majsan milt undrar
0.00 | 0.33
ours: nyfiket majsan undrar | random: nyfiket undrar majsan
0.00 | 0.33
ours: oroligt majsan undrar | random: majsan undrar oroligt
0.00 | 0.00
ours: retsamt majsan undrar | random: majsan retsamt undrar
0.00 | 0.33
ours: surt majsan undrar | random: undrar surt majsan
0.00 | 0.00
ours: undrar maud olofsson | random: undrar maud olofsson
1.00 | 1.00
ours: milt staffan undrar | random: milt staffan undrar
0.00 | 0.00
ours: tvivlande staffan undrar | random: tvivlande staffan undrar
0.00 | 0.00
ours: jag menar ungdomar | random: ungdomar menar jag
0.00 | 1.00
ours: upp med er | random: med er upp
1.00 | 0.33
ours: luckan upp med | random: upp luckan med
0.33 | 0.00
ours: upp och ner | random: ner upp och
1.00 | 0.33
ours: ur tomma intet | random: tomma intet ur
1.00 | 0.33
ours: usama bin laden | random: bin laden usama
1.00 | 0.33
ours: imponerat percy utbrast | random: percy utbrast imponerat
0.00 | 0.00
ours: med love utom | random: utom med love
0.33 | 1.00
ours: sedan NUMBER utrikesminister | random: sedan NUMBER utrikesminister
0.33 | 0.33
ours: du sa va | random: du va sa
0.00 | 0.33
ours: vad det betydde | random: vad det betydde
0.00 | 0.00
ours: vad betyder det | random: vad betyder det
1.00 | 1.00
ours: vad betyder enveten | random: vad betyder enveten
1.00 | 1.00
ours: vad betyder orden | random: betyder vad orden
1.00 | 0.00
ours: fick du vad | random: du fick vad
0.33 | 0.00
ours: du gjorde vad | random: gjorde du vad
0.00 | 0.33
ours: vad han gjorde | random: gjorde vad han
0.00 | 0.00
ours: vad den heter | random: den heter vad
0.00 | 0.00
ours: vad heter dom | random: vad dom heter
1.00 | 0.00
ours: vad heter du | random: vad du heter
1.00 | 0.00
ours: vad han heter | random: heter han vad
0.00 | 0.33
ours: vad i hela | random: hela vad i
1.00 | 0.33
ours: biljetterna kostar vad | random: vad biljetterna kostar
0.00 | 0.00
ours: vad kostar korten | random: korten vad kostar
1.00 | 0.33
ours: vad kostar trygghetstelefon | random: trygghetstelefon kostar vad
1.00 | 0.00
ours: menar du vad | random: vad menar du
0.33 | 1.00
ours: vad han menar | random: vad han menar
0.00 | 0.00
ours: mormor menar vad | random: menar vad mormor
0.00 | 0.00
ours: vad mycket mat | random: mat vad mycket
1.00 | 0.33
ours: sa du vad | random: du sa vad
0.33 | 0.00
ours: vad han sa | random: sa han vad
0.00 | 0.33
ours: vad jag sa | random: jag vad sa
0.00 | 0.33
ours: vad ser du | random: ser vad du
1.00 | 0.00
ours: vad han ska | random: ska han vad
0.00 | 0.33
ours: trodde du vad | random: trodde du vad
0.33 | 0.33
ours: ni trodde vad | random: ni vad trodde
0.00 | 0.33
ours: vad tror du | random: du vad tror
1.00 | 0.33
ours: tycker du vad | random: du tycker vad
0.33 | 0.00
ours: ni tycker vad | random: ni tycker vad
0.00 | 0.00
ours: ungar tycks vad | random: ungar vad tycks
0.00 | 0.33
ours: vad var det | random: var vad det
1.00 | 0.00
ours: vill du vad | random: vad vill du
0.33 | 1.00
ours: vad han vill | random: vad vill han
0.00 | 1.00
ours: vad han ville | random: ville vad han
0.00 | 0.00
ours: vad ville tant | random: ville vad tant
1.00 | 0.00
ours: jag visste vad | random: visste jag vad
0.00 | 0.33
ours: vagn nummer ett | random: vagn ett nummer
1.00 | 0.00
ours: valsegern var klar | random: klar valsegern var
1.00 | 0.33
ours: lugn var alldeles | random: var alldeles lugn
0.33 | 1.00
ours: var du bor | random: var du bor
0.00 | 0.00
ours: den var rolig | random: rolig den var
0.00 | 0.00
ours: det var allt | random: var det allt
0.00 | 1.00
ours: det var anton | random: anton det var
0.00 | 0.00
ours: det var bra | random: bra det var
0.00 | 0.00
ours: det var det | random: det det var
0.33 | 0.33
ours: det var du | random: det du var
0.00 | 0.33
ours: det var hon | random: var hon det
0.00 | 0.00
ours: var det inte | random: var inte det
1.00 | 0.00
ours: det var julia | random: det var julia
0.00 | 0.00
ours: det var kul | random: det kul var
0.00 | 0.33
ours: var det va | random: det var va
1.00 | 0.00
ours: alla var fanns | random: var fanns alla
0.33 | 1.00
ours: var de fanns | random: var de fanns
0.00 | 0.00
ours: var finns osten | random: finns osten var
1.00 | 0.33
ours: var inte blyga | random: blyga var inte
1.00 | 0.33
ours: var inte dum | random: inte var dum
1.00 | 0.00
ours: inte var ledsen | random: inte ledsen var
0.00 | 0.33
ours: var det ligger | random: det var ligger
0.00 | 0.33
ours: nu var tysta | random: var nu tysta
0.33 | 0.00
ours: var var mormor | random: var mormor var
1.00 | 0.33
ours: trygg alldeles vara | random: alldeles vara trygg
0.00 | 0.00
ours: varm och lugn | random: varm lugn och
1.00 | 0.00
ours: vart ska du | random: du vart ska
1.00 | 0.33
ours: ni ska vart | random: ni ska vart
0.00 | 0.00
ours: vi ska vart | random: vart vi ska
0.00 | 0.00
ours: pumpades bort vattnet | random: vattnet pumpades bort
0.33 | 1.00
ours: vattnet var varmt | random: varmt vattnet var
1.00 | 0.33
ours: vem var bor | random: bor vem var
0.00 | 0.00
ours: vem bryr sig | random: bryr sig vem
1.00 | 0.33
ours: vem har anknytning | random: vem har anknytning
1.00 | 1.00
ours: vem har ansvar | random: vem ansvar har
1.00 | 0.00
ours: vem han ringde | random: han ringde vem
0.00 | 0.00
ours: vem var det | random: var vem det
1.00 | 0.00
ours: vem han var | random: var han vem
0.00 | 0.33
ours: vem var jm | random: var jm vem
1.00 | 0.33
ours: farfar sa very | random: sa very farfar
0.00 | 0.00
ours: vet du vad | random: du vad vet
1.00 | 0.33
ours: vet inte riktigt | random: inte riktigt vet
1.00 | 0.33
ours: vi bara gapade | random: gapade vi bara
1.00 | 0.33
ours: vi bara stirrar | random: bara vi stirrar
1.00 | 0.00
ours: ingenting begrep vi | random: vi ingenting begrep
0.00 | 0.00
ours: vi gillar dej | random: vi dej gillar
1.00 | 0.00
ours: vi har tur | random: vi har tur
1.00 | 1.00
ours: vi ses kanske | random: vi kanske ses
0.00 | 1.00
ours: alltihop kastar vi | random: kastar alltihop vi
0.00 | 0.33
ours: rusade vi ut | random: vi rusade ut
0.00 | 1.00
ours: han sa vi | random: sa vi han
0.00 | 0.00
ours: inget vi sa | random: inget vi sa
0.33 | 0.33
ours: vi ses manuel | random: manuel vi ses
1.00 | 0.33
ours: sedan vi ses | random: ses vi sedan
0.33 | 0.00
ours: vidare skrittar vi | random: vidare skrittar vi
0.33 | 0.33
ours: vi spelade dataspel | random: spelade vi dataspel
1.00 | 0.00
ours: vi springer dit | random: vi dit springer
1.00 | 0.00
ours: dit sticker vi | random: dit sticker vi
0.00 | 0.00
ours: vi tar flotten | random: tar flotten vi
1.00 | 0.33
ours: vi bara tittade | random: tittade bara vi
0.00 | 0.33
ours: vi vann matchen | random: matchen vann vi
1.00 | 0.00
ours: vi vill verkligen | random: verkligen vi vill
1.00 | 0.33
ours: vi vinkade tillbaka | random: tillbaka vinkade vi
1.00 | 0.00
ours: vila i frid | random: i vila frid
1.00 | 0.00
ours: va blixt vilken | random: blixt va vilken
0.00 | 0.33
ours: fjording fantastisk vilken | random: vilken fantastisk fjording
0.00 | 1.00
ours: vilken tur himla | random: vilken himla tur
0.00 | 1.00
ours: vilket som helst | random: som helst vilket
1.00 | 0.33
ours: det du vill | random: vill det du
0.00 | 0.00
ours: du vill ha | random: du vill ha
0.00 | 0.00
ours: du vill spela | random: du spela vill
0.00 | 0.33
ours: jag vill skrika | random: jag skrika vill
0.00 | 0.33
ours: vill ni ha | random: ha ni vill
1.00 | 0.00
ours: greven ville veta | random: greven ville veta
0.00 | 0.00
ours: han ville veta | random: ville han veta
0.00 | 1.00
ours: jag ville veta | random: ville jag veta
0.00 | 1.00
ours: mor ville veta | random: ville mor veta
0.00 | 1.00
ours: oskar ville veta | random: oskar veta ville
0.00 | 0.33
ours: vinden hade stillnat | random: vinden stillnat hade
1.00 | 0.00
ours: visa oss lite | random: lite visa oss
1.00 | 0.33
ours: viskade han ivrigt | random: ivrigt han viskade
1.00 | 0.00
ours: tillbaka jag viskar | random: jag tillbaka viskar
0.00 | 0.33
ours: tyst jag viskar | random: jag tyst viskar
0.00 | 0.33
ours: majsan fnyser visst | random: fnyser visst majsan
0.00 | 0.00
ours: jag visst nickar | random: visst nickar jag
0.33 | 1.00
ours: hon sa visst | random: visst hon sa
0.00 | 0.00
ours: jag visst svarar | random: visst svarar jag
0.33 | 1.00
ours: vit och fladdrande | random: och vit fladdrande
1.00 | 0.00
ours: spetsar med vitt | random: vitt med spetsar
0.00 | 1.00
ours: voff voff voff | random: voff voff voff
1.00 | 1.00
ours: jag menar vuxna | random: menar vuxna jag
0.00 | 0.00
ours: of course yes | random: course of yes
0.33 | 0.00
