ours: NUMBER joel hej | random: hej joel NUMBER
0.33 | 0.33
ours: dystert svarar jag | random: svarar jag dystert
0.33 | 1.00
ours: svaret blev nej | random: blev nej svaret
1.00 | 0.33
ours: svarten sa hon | random: svarten sa hon
1.00 | 1.00
ours: mamma sa svarten | random: svarten mamma sa
0.00 | 0.00
ours: jag viskade svarten | random: jag viskade svarten
0.00 | 0.00
ours: sverige har demokrati | random: demokrati har sverige
1.00 | 0.00
ours: sverige har hemmamatch | random: hemmamatch sverige har
1.00 | 0.33
ours: sverige kom femma | random: femma sverige kom
1.00 | 0.33
ours: sverige vann matchen | random: sverige vann matchen
1.00 | 1.00
ours: synd om dig | random: om synd dig
1.00 | 0.00
ours: jag sa synd | random: jag synd sa
0.00 | 0.33
ours: ta bort det | random: ta det bort
1.00 | 0.00
ours: ta den du | random: ta du den
1.00 | 0.00
ours: ta det lugnt | random: ta det lugnt
1.00 | 1.00
ours: ta en annan | random: ta en annan
1.00 | 1.00
ours: grejor era ta | random: grejor ta era
0.00 | 0.33
ours: ta den fast | random: ta den fast
0.00 | 0.00
ours: grejorna du ta | random: ta du grejorna
0.33 | 0.00
ours: tack och lov | random: tack och lov
1.00 | 1.00
ours: tack hon sa | random: sa hon tack
0.00 | 0.33
ours: tack jag sa | random: sa jag tack
0.00 | 0.33
ours: percy sa tack | random: tack sa percy
0.00 | 1.00
ours: tack tack tack | random: tack tack tack
1.00 | 1.00
ours: tack jag viskade | random: viskade tack jag
0.00 | 0.00
ours: tack jag viskar | random: jag viskar tack
0.00 | 0.00
ours: tar hand mormors | random: tar mormors hand
0.00 | 1.00
ours: telefon till dig | random: dig telefon till
1.00 | 0.33
ours: bara ringde telefonen | random: telefonen bara ringde
0.33 | 1.00
ours: termometern visar plusgrader | random: termometern plusgrader visar
1.00 | 0.00
ours: galoppera vill tessa | random: vill tessa galoppera
0.00 | 0.00
ours: tid klockan NUMBER | random: tid NUMBER klockan
1.00 | 0.00
ours: tiden var fantastisk | random: fantastisk tiden var
1.00 | 0.33
ours: till i morgon | random: i morgon till
1.00 | 0.33
ours: inez rum till | random: inez till rum
0.33 | 0.00
ours: kanske till julafton | random: till julafton kanske
0.33 | 1.00
ours: martinas rum till | random: martinas rum till
0.33 | 0.33
ours: till varje pris | random: till pris varje
1.00 | 0.00
ours: till vilken nytta | random: nytta vilken till
1.00 | 0.00
ours: till och vingar | random: till och vingar
0.00 | 0.00
ours: tillbaka under bron | random: tillbaka under bron
1.00 | 1.00
ours: bryter mirran tills | random: bryter tills mirran
0.00 | 0.33
ours: nicklas wiberg tiokamp | random: nicklas tiokamp wiberg
0.33 | 0.00
ours: en orm titta | random: orm titta en
0.33 | 0.33
ours: titta ett troll | random: ett troll titta
1.00 | 0.33
ours: ropade hon titta | random: hon titta ropade
0.33 | 0.33
ours: jag sa tjata | random: tjata jag sa
0.00 | 0.00
ours: fnissar med tjejerna | random: med tjejerna fnissar
0.33 | 0.33
ours: triumferande turbin tjuter | random: turbin triumferande tjuter
0.00 | 0.33
ours: tog fram brevet | random: tog brevet fram
1.00 | 0.00
ours: mormor fnyste tokprat | random: fnyste mormor tokprat
0.00 | 0.33
ours: slag tunga tolv | random: tunga slag tolv
0.00 | 0.33
ours: jag viskade tolv | random: jag tolv viskade
0.00 | 0.33
ours: tre andra skadades | random: tre skadades andra
1.00 | 0.00
ours: i tre minuter | random: minuter tre i
0.33 | 0.00
ours: NUMBER tre saker | random: NUMBER tre saker
0.33 | 0.33
ours: christian olsson tresteg | random: tresteg christian olsson
0.33 | 1.00
ours: trettio tusen kronor | random: tusen kronor trettio
1.00 | 0.33
ours: klasse suckade trettiofyra | random: suckade klasse trettiofyra
0.00 | 0.33
ours: jag sa tretton | random: tretton sa jag
0.00 | 1.00
ours: tretusenfemhundra miljoner kronor | random: tretusenfemhundra miljoner kronor
1.00 | 1.00
ours: blommor fram trolla | random: blommor trolla fram
0.00 | 0.33
ours: det tror du | random: du det tror
0.33 | 0.33
ours: tror du ja | random: du tror ja
1.00 | 0.00
ours: tror jag inte | random: jag tror inte
1.00 | 0.00
ours: tuff och stark | random: tuff stark och
1.00 | 0.00
ours: taket beundrar turbin | random: beundrar taket turbin
0.00 | 0.33
ours: idrott tyckte om | random: om idrott tyckte
0.33 | 0.33
ours: typ en halvtimme | random: typ en halvtimme
1.00 | 1.00
ours: tyst i huset | random: huset tyst i
1.00 | 0.33
ours: dej med tyst | random: med dej tyst
0.00 | 0.33
ours: tystnade ett tag | random: tystnade tag ett
1.00 | 0.00
ours: intresserat farfar undrade | random: farfar intresserat undrade
0.00 | 0.33
ours: hennes mamma undrade | random: hennes mamma undrade
0.33 | 0.33
ours: e uffe undrade | random: undrade e uffe
0.33 | 0.33
ours: den andra undrar | random: undrar den andra
0.33 | 1.00
ours: nyfiket undrar hon | random: nyfiket hon undrar
0.33 | 0.00
ours: oroligt undrar hon | random: hon oroligt undrar
0.33 | 0.33
ours: jag undrar avledande | random: avledande jag undrar
0.00 | 0.00
ours: undrar jag oroligt | random: jag oroligt undrar
1.00 | 0.33
ours: jag undrar spydigt | random: undrar jag spydigt
0.00 | 1.00
ours: jag undrar tyst | random: tyst undrar jag
0.00 | 0.33
ours: milt majsan undrar | random: undrar majsan milt
0.00 | 1.00
ours: nyfiket majsan undrar | random: majsan nyfiket undrar
0.00 | 0.33
ours: oroligt majsan undrar | random: majsan undrar oroligt
0.00 | 0.00
ours: retsamt majsan undrar | random: undrar retsamt majsan
0.00 | 0.00
ours: surt majsan undrar | random: undrar surt majsan
0.00 | 0.00
ours: maud olofsson undrar | random: olofsson undrar maud
0.33 | 0.33
ours: milt staffan undrar | random: undrar milt staffan
0.00 | 0.00
ours: tvivlande staffan undrar | random: tvivlande staffan undrar
0.00 | 0.00
ours: jag menar ungdomar | random: ungdomar menar jag
0.00 | 1.00
ours: upp med er | random: med er upp
1.00 | 0.33
ours: luckan upp med | random: upp med luckan
0.33 | 1.00
ours: upp och ner | random: och ner upp
1.00 | 0.33
ours: ur tomma intet | random: intet tomma ur
1.00 | 0.00
ours: usama bin laden | random: laden bin usama
1.00 | 0.00
ours: imponerat percy utbrast | random: percy imponerat utbrast
0.00 | 0.33
ours: love med utom | random: med utom love
0.00 | 0.00
ours: utrikesminister sedan NUMBER | random: sedan NUMBER utrikesminister
1.00 | 0.33
ours: va sa du | random: du va sa
1.00 | 0.33
ours: vad det betydde | random: det betydde vad
0.00 | 0.00
ours: vad betyder det | random: betyder det vad
1.00 | 0.33
ours: vad betyder enveten | random: vad betyder enveten
1.00 | 1.00
ours: vad betyder orden | random: vad betyder orden
1.00 | 1.00
ours: vad fick du | random: fick du vad
1.00 | 0.33
ours: vad gjorde du | random: gjorde du vad
1.00 | 0.33
ours: vad han gjorde | random: han vad gjorde
0.00 | 0.33
ours: vad heter den | random: vad heter den
1.00 | 1.00
ours: vad heter dom | random: vad heter dom
1.00 | 1.00
ours: vad du heter | random: heter vad du
0.00 | 0.00
ours: vad heter han | random: vad han heter
1.00 | 0.00
ours: vad i hela | random: hela i vad
1.00 | 0.00
ours: vad kostar biljetterna | random: kostar vad biljetterna
1.00 | 0.00
ours: vad kostar korten | random: kostar korten vad
1.00 | 0.33
ours: vad kostar trygghetstelefon | random: trygghetstelefon kostar vad
1.00 | 0.00
ours: vad menar du | random: du menar vad
1.00 | 0.00
ours: vad han menar | random: han menar vad
0.00 | 0.00
ours: vad menar mormor | random: menar vad mormor
1.00 | 0.00
ours: vad mycket mat | random: mycket vad mat
1.00 | 0.00
ours: vad sa du | random: vad sa du
1.00 | 1.00
ours: vad han sa | random: vad han sa
0.00 | 0.00
ours: vad jag sa | random: sa vad jag
0.00 | 0.00
ours: vad ser du | random: vad ser du
1.00 | 1.00
ours: vad han ska | random: vad han ska
0.00 | 0.00
ours: vad trodde du | random: trodde vad du
1.00 | 0.00
ours: vad ni trodde | random: ni trodde vad
0.00 | 0.00
ours: vad tror du | random: du vad tror
1.00 | 0.33
ours: vad tycker du | random: du vad tycker
1.00 | 0.33
ours: vad tycker ni | random: vad ni tycker
1.00 | 0.00
ours: ungar tycks vad | random: ungar tycks vad
0.00 | 0.00
ours: vad var det | random: det vad var
1.00 | 0.33
ours: vad vill du | random: du vad vill
1.00 | 0.33
ours: vad han vill | random: han vill vad
0.00 | 0.00
ours: vad han ville | random: han vad ville
0.00 | 0.33
ours: vad ville tant | random: ville vad tant
1.00 | 0.00
ours: vad jag visste | random: vad jag visste
0.00 | 0.00
ours: vagn nummer ett | random: vagn nummer ett
1.00 | 1.00
ours: valsegern var klar | random: var valsegern klar
1.00 | 0.00
ours: alldeles var lugn | random: var lugn alldeles
0.00 | 0.00
ours: var du bor | random: var bor du
0.00 | 1.00
ours: den var rolig | random: var den rolig
0.00 | 1.00
ours: det var allt | random: det allt var
0.00 | 0.33
ours: anton var det | random: var anton det
0.33 | 0.00
ours: det var bra | random: bra var det
0.00 | 0.33
ours: det var det | random: det det var
0.33 | 0.33
ours: det var du | random: var det du
0.00 | 1.00
ours: var det hon | random: det hon var
1.00 | 0.33
ours: var det inte | random: inte det var
1.00 | 0.00
ours: det var julia | random: det julia var
0.00 | 0.33
ours: det var kul | random: det kul var
0.00 | 0.33
ours: va var det | random: det var va
0.33 | 0.00
ours: alla var fanns | random: alla fanns var
0.33 | 0.00
ours: de var fanns | random: de fanns var
0.33 | 0.00
ours: var finns osten | random: osten finns var
1.00 | 0.00
ours: var inte blyga | random: inte blyga var
1.00 | 0.33
ours: var inte dum | random: var dum inte
1.00 | 0.00
ours: inte var ledsen | random: var inte ledsen
0.00 | 1.00
ours: var det ligger | random: ligger var det
0.00 | 0.00
ours: nu var tysta | random: nu var tysta
0.33 | 0.33
ours: mormor var var | random: mormor var var
0.33 | 0.33
ours: trygg alldeles vara | random: trygg vara alldeles
0.00 | 0.33
ours: lugn och varm | random: och lugn varm
0.00 | 0.33
ours: vart ska du | random: ska du vart
1.00 | 0.33
ours: ni ska vart | random: vart ska ni
0.00 | 1.00
ours: vart vi ska | random: ska vart vi
0.00 | 0.00
ours: pumpades bort vattnet | random: pumpades vattnet bort
0.33 | 0.00
ours: vattnet var varmt | random: varmt vattnet var
1.00 | 0.33
ours: vem var bor | random: bor vem var
0.00 | 0.00
ours: vem bryr sig | random: bryr vem sig
1.00 | 0.00
ours: vem har anknytning | random: vem har anknytning
1.00 | 1.00
ours: vem har ansvar | random: ansvar vem har
1.00 | 0.33
ours: vem han ringde | random: han ringde vem
0.00 | 0.00
ours: vem var det | random: det var vem
1.00 | 0.00
ours: vem var han | random: han vem var
1.00 | 0.33
ours: vem var jm | random: jm var vem
1.00 | 0.00
ours: farfar sa very | random: sa very farfar
0.00 | 0.00
ours: vet du vad | random: du vad vet
1.00 | 0.33
ours: vet inte riktigt | random: vet riktigt inte
1.00 | 0.00
ours: vi bara gapade | random: bara gapade vi
1.00 | 0.33
ours: bara vi stirrar | random: stirrar bara vi
0.00 | 0.00
ours: ingenting vi begrep | random: vi ingenting begrep
0.33 | 0.00
ours: vi gillar dej | random: gillar dej vi
1.00 | 0.33
ours: har vi tur | random: har vi tur
0.00 | 0.00
ours: kanske vi ses | random: vi kanske ses
0.00 | 1.00
ours: vi kastar alltihop | random: vi alltihop kastar
1.00 | 0.00
ours: rusade vi ut | random: vi rusade ut
0.00 | 1.00
ours: vi sa han | random: sa han vi
1.00 | 0.33
ours: vi sa inget | random: inget vi sa
1.00 | 0.33
ours: vi ses manuel | random: vi ses manuel
1.00 | 1.00
ours: sedan vi ses | random: sedan ses vi
0.33 | 0.00
ours: skrittar vi vidare | random: vi vidare skrittar
0.33 | 0.00
ours: vi spelade dataspel | random: dataspel spelade vi
1.00 | 0.00
ours: springer vi dit | random: vi springer dit
0.00 | 1.00
ours: sticker vi dit | random: sticker dit vi
0.00 | 0.33
ours: vi tar flotten | random: tar flotten vi
1.00 | 0.33
ours: vi bara tittade | random: bara tittade vi
0.00 | 0.00
ours: vi vann matchen | random: vi matchen vann
1.00 | 0.00
ours: vi vill verkligen | random: vill vi verkligen
1.00 | 0.00
ours: vinkade vi tillbaka | random: vi tillbaka vinkade
0.00 | 0.00
ours: vila i frid | random: vila frid i
1.00 | 0.00
ours: va blixt vilken | random: vilken blixt va
0.00 | 1.00
ours: vilken fantastisk fjording | random: fjording vilken fantastisk
1.00 | 0.33
ours: vilken tur himla | random: himla tur vilken
0.00 | 0.33
ours: vilket som helst | random: helst som vilket
1.00 | 0.00
ours: vill du det | random: du vill det
1.00 | 0.00
ours: vill du ha | random: ha du vill
1.00 | 0.00
ours: du vill spela | random: vill du spela
0.00 | 1.00
ours: jag vill skrika | random: jag skrika vill
0.00 | 0.33
ours: vill ni ha | random: vill ni ha
1.00 | 1.00
ours: greven ville veta | random: veta ville greven
0.00 | 0.33
ours: han ville veta | random: han ville veta
0.00 | 0.00
ours: jag ville veta | random: ville veta jag
0.00 | 0.00
ours: mor ville veta | random: veta mor ville
0.00 | 0.00
ours: oskar ville veta | random: ville oskar veta
0.00 | 1.00
ours: stillnat hade vinden | random: hade stillnat vinden
0.00 | 0.33
ours: visa oss lite | random: lite oss visa
1.00 | 0.00
ours: han viskade ivrigt | random: ivrigt han viskade
0.00 | 0.00
ours: viskar jag tillbaka | random: jag tillbaka viskar
1.00 | 0.33
ours: viskar jag tyst | random: viskar tyst jag
1.00 | 0.00
ours: majsan fnyser visst | random: visst fnyser majsan
0.00 | 1.00
ours: visst jag nickar | random: jag visst nickar
0.00 | 0.33
ours: visst sa hon | random: visst hon sa
1.00 | 0.00
ours: visst svarar jag | random: jag svarar visst
1.00 | 0.00
ours: fladdrande och vit | random: och fladdrande vit
0.00 | 0.33
ours: spetsar med vitt | random: med vitt spetsar
0.00 | 0.00
ours: voff voff voff | random: voff voff voff
1.00 | 1.00
ours: jag menar vuxna | random: menar jag vuxna
0.00 | 0.33
ours: course of yes | random: course of yes
0.00 | 0.00
